# Reynolds:  0.36718E+05
# Mach:  0.20334E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.51897E+00  0.17556E+00  0.10758E+02  0.69384E+01  0.20058E+02  0.12687E+02  0.10405E+01  0.45567E-01  0.10928E+00  0.10638E+02  0.17653E+04  0.49220E-02  0.23051E-02  0.72144E-03  0.79201E-01  0.54198E+00 -0.96826E+01 -0.60033E+03  0.16600E-03  0.45487E-03  0.12054E-03  0.14735E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.65054684918818E+00  0.41679509829367E+00  0.23584824766659E-01  0.70204185638460E-02  0.20716481428733E-03 -1
 0.66545597892474E+00  0.37494458716800E+00  0.30314471523319E-01  0.90163966637547E-02  0.17254848138766E-03 -1
 0.68044932833424E+00  0.32275339597670E+00  0.31143471656457E-01  0.92516768414880E-02  0.66645850990197E-05 -1
 0.69552312292093E+00  0.27446556530304E+00  0.29435916964235E-01  0.87412032705287E-02  0.65480501970210E-05 -1
 0.71067356793742E+00  0.23526692668465E+00  0.28359555411305E-01  0.84226628720926E-02  0.64414430996724E-05 -1
 0.72589684934000E+00  0.20389246621337E+00  0.28392613385322E-01  0.84346649235707E-02  0.63422402000200E-05 -1
 0.74118913474876E+00  0.17923105471598E+00  0.29101449080168E-01  0.86471492964584E-02  0.62403863597980E-05 -1
 0.75654657441241E+00  0.15882588002557E+00  0.30018335433338E-01  0.89208332359388E-02  0.61103285807609E-05 -1
 0.77196530217744E+00  0.14038048198099E+00  0.30881776748920E-01  0.91782195648828E-02  0.58631215807603E-05 -1
 0.78744143646137E+00  0.12006016050897E+00  0.31601504236476E-01  0.93926226840880E-02  0.53704718826079E-05 -1
 0.80297108122994E+00  0.93872579948555E-01  0.32165873398671E-01  0.95606805440718E-02  0.44589642682592E-05 -1
 0.81855032697790E+00  0.64551496722095E-01  0.32593673398043E-01  0.96880343637540E-02  0.33112584337263E-05 -1
 0.83417525171325E+00  0.42070563678316E-01  0.32590825390151E-01  0.97819203998300E-02  0.69943182935434E-04  2
 0.84984192194451E+00  0.32674679230576E-01  0.32737789085508E-01  0.98494769323242E-02  0.11670405067054E-03  2
 0.86554639367101E+00  0.32774576744789E-01  0.32851382525329E-01  0.98966614938927E-02  0.17235228706418E-03  2
 0.88128471337577E+00  0.35311311255195E-01  0.32929466080141E-01  0.99287060936041E-02  0.22936493443391E-03  2
 0.89705291902074E+00  0.37155376079847E-01  0.32979643301408E-01  0.99501059253706E-02  0.27435212296116E-03  2
 0.91284704104426E+00  0.38033443747038E-01  0.33013910878232E-01  0.99656643307412E-02  0.30109891136051E-03  2
 0.92866310336034E+00  0.38404288311614E-01  0.33048725566478E-01  0.99814820371877E-02  0.30268835333224E-03  2
 0.94449712435965E+00  0.38636686786397E-01  0.33117431381435E-01  0.10008604566986E-01  0.25907714153201E-03  2
 0.96034511791188E+00  0.38808399975648E-01  0.33450594447820E-01  0.10089924723407E-01  0.88497609046823E-04  2
 0.97620309436915E+00  0.38927733686578E-01  0.34793869996921E-01  0.10389754556374E-01  0.71586784223002E-05 -2
 0.99206706157050E+00  0.39047374819690E-01  0.37552287401083E-01  0.11219111287806E-01  0.00000000000000E+00 -2
