# Reynolds:  0.30763E+05
# Mach:  0.16590E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.42474E+00  0.18029E+00  0.87771E+01  0.80394E+01  0.24086E+02  0.15309E+02  0.11786E+01  0.54374E-01  0.11507E+00  0.87275E+01  0.10135E+04  0.95801E-02  0.23414E-02  0.90255E-03  0.11676E+00  0.59710E+00 -0.76849E+01 -0.58542E+03 -0.84228E-03  0.88464E-03  0.15273E-03  0.63972E-01  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.37564419283416E+00  0.11961817459255E+01  0.84731299668018E-02  0.21152708640438E-02  0.24351473538211E-03 -1
 0.38811568340144E+00  0.11956103163908E+01  0.88575998556814E-02  0.22073120785764E-02  0.22217398950654E-03 -1
 0.40074121258179E+00  0.11950797353366E+01  0.92955295021877E-02  0.23129645053337E-02  0.20326364103886E-03 -1
 0.41351760196559E+00  0.11945865386875E+01  0.98091170701080E-02  0.24377269748225E-02  0.18629690943696E-03 -1
 0.42644163516494E+00  0.11941356716762E+01  0.10419025948256E-01  0.25866694136870E-02  0.17098696643004E-03 -1
 0.43951005862344E+00  0.11937232292380E+01  0.11131131668547E-01  0.27611325722497E-02  0.15722955889800E-03 -1
 0.45271958243516E+00  0.11933524683142E+01  0.11913964519891E-01  0.29531214602681E-02  0.14525570392627E-03 -1
 0.46606688117296E+00  0.11930165904042E+01  0.12652298845813E-01  0.31338033881902E-02  0.13572082814391E-03 -1
 0.47954859472556E+00  0.11927140993186E+01  0.13218316057234E-01  0.32715390785081E-02  0.12876631181788E-03 -1
 0.49316132914349E+00  0.11924353097391E+01  0.13565769582614E-01  0.33551985120327E-02  0.12399224417043E-03 -1
 0.50690165749346E+00  0.11921751783496E+01  0.13742210824437E-01  0.33968500388158E-02  0.12059600453069E-03 -1
 0.52076612072110E+00  0.11919255501672E+01  0.13829843504292E-01  0.34169046195892E-02  0.11793952663572E-03 -1
 0.53475122852174E+00  0.11916818781239E+01  0.13878894722529E-01  0.34276670283215E-02  0.11566639102718E-03 -1
 0.54885346021908E+00  0.11914378942891E+01  0.13915951678612E-01  0.34356272351672E-02  0.11361647950800E-03 -1
 0.56306926565152E+00  0.11911711065078E+01  0.13949295896265E-01  0.34427721801366E-02  0.11173112336578E-03 -1
 0.57739506606585E+00  0.11907917587113E+01  0.13981732489081E-01  0.34497746751436E-02  0.10998172519016E-03 -1
 0.59182725501823E+00  0.11897200075838E+01  0.14014066193201E-01  0.34568238857510E-02  0.10832568388155E-03 -1
 0.60636219928208E+00  0.11860375166428E+01  0.14047041023901E-01  0.34640993500135E-02  0.10665835174807E-03 -1
 0.62099623976269E+00  0.11708510954024E+01  0.14081470410256E-01  0.34717979660046E-02  0.10454440229301E-03 -1
 0.63572569241844E+00  0.11244030965565E+01  0.14118340927571E-01  0.34801593941194E-02  0.10104987967169E-03 -1
 0.65054684918818E+00  0.99368856336904E+00  0.14158426667955E-01  0.34893697425305E-02  0.93712153942060E-04 -1
 0.66545597892474E+00  0.73975673781106E+00  0.14202189204310E-01  0.34995381971206E-02  0.80818304061154E-04 -1
 0.68044932833424E+00  0.37899774158326E+00  0.14249871160944E-01  0.35107204343249E-02  0.63267213583503E-04 -1
 0.69552312292093E+00  0.68841679497985E-01  0.92063469344757E-02  0.35273494412267E-02  0.11738652236112E-02  2
 0.71067356793742E+00 -0.58272602064098E-01  0.80081145078457E-02  0.35522613948283E-02  0.19009917645296E-02  2
 0.72589684934000E+00 -0.67760668671617E-01  0.73658619238627E-02  0.35857977792163E-02  0.26651256239907E-02  2
 0.74118913474876E+00 -0.46443983180104E-01  0.69980383864487E-02  0.36269668181490E-02  0.34083985093499E-02  2
 0.75654657441241E+00 -0.46134198856397E-01  0.67898998789794E-02  0.36748198422470E-02  0.39584041298122E-02  2
 0.77196530217744E+00 -0.73646976570540E-01  0.66831259337642E-02  0.37282739449467E-02  0.42578750555537E-02  2
 0.78744143646137E+00 -0.11001949679353E+00  0.66438058351616E-02  0.37861069717050E-02  0.43988409363268E-02  2
 0.80297108122994E+00 -0.12926718969554E+00  0.66521171019460E-02  0.38475686127443E-02  0.45575797235414E-02  2
 0.81855032697790E+00 -0.10819542572993E+00  0.67012137581224E-02  0.39134909598656E-02  0.49233678353928E-02  2
 0.83417525171325E+00 -0.22979064603768E-01  0.67958008427493E-02  0.39866279908894E-02  0.57003738815681E-02  2
 0.84984192194451E+00  0.12179760239048E+00  0.69552019625750E-02  0.40728143497379E-02  0.68660072679920E-02  2
 0.86554639367101E+00  0.28972685523336E+00  0.68862444197569E-02  0.41765144591598E-02  0.81441021542875E-02  2
 0.88128471337577E+00  0.40829674183928E+00  0.71922070226672E-02  0.43096209782567E-02  0.90301828444697E-02  2
 0.89705291902074E+00  0.41455646302889E+00  0.79486269115426E-02  0.45775118371111E-02  0.91139232335857E-02  2
 0.91284704104426E+00  0.33308755981674E+00  0.92292890133816E-02  0.50087802652111E-02  0.85175166480870E-02  2
 0.92866310336034E+00  0.21089681581154E+00  0.75041841987119E-02  0.55159120191083E-02  0.75512480628682E-02  2
 0.94449712435965E+00  0.95379004856589E-01  0.83777209729525E-02  0.59587932615992E-02  0.60883413902584E-02  2
 0.96034511791188E+00  0.80534270909748E-02  0.10988941315709E-01  0.67070865223836E-02  0.35912356970962E-02  2
 0.97620309436915E+00 -0.40637252418151E-01  0.30435635999685E-01  0.95643452762088E-02  0.36063029944423E-03 -2
 0.99206706157050E+00 -0.85290187072574E-01  0.60305969908858E-01  0.18339986440351E-01  0.38556718486908E-03 -2
