# Reynolds:  0.39043E+05
# Mach:  0.38640E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.99014E+00  0.98237E-01  0.20443E+02  0.19159E+01  0.11809E+02  0.96240E+01  0.55690E+00  0.36423E-01  0.81155E-01  0.21075E+02  0.23140E+05  0.17363E-02  0.62427E-03  0.21099E-03  0.45055E+00  0.74467E+00 -0.18152E+02 -0.21675E+04  0.15369E-02  0.28481E-03  0.11537E-03  0.84936E+00  0.93290E+00
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.63079762947743E-01  0.90957143814136E-01  0.15850281850851E-02  0.62658596044479E-03  0.16934048610305E-01  1
 0.57653283427148E-01  0.90611905620787E-01  0.14911606929663E-02  0.59086646873105E-03  0.18145620182523E-01  1
 0.52464034666217E-01  0.90714887543338E-01  0.13888710726694E-02  0.55406806506962E-03  0.19859230206028E-01  1
 0.47513323030650E-01  0.88486634729840E-01  0.12849664682764E-02  0.51756986486232E-03  0.22013492077021E-01  1
 0.42802394835693E-01  0.81016135300843E-01  0.11898191644080E-02  0.48296170574920E-03  0.24221350512049E-01  1
 0.38332436032394E-01  0.69233606874994E-01  0.11037662302200E-02  0.44999349094158E-03  0.26348181686548E-01  1
 0.34104571909040E-01  0.54751031230963E-01  0.10195860380379E-02  0.41724984717483E-03  0.28722110141100E-01  1
 0.30119866807873E-01  0.38022745589182E-01  0.93167944726353E-03  0.38407009740553E-03  0.31896110602108E-01  1
 0.26379323857149E-01  0.14170838614153E-01  0.84340551670783E-03  0.35167010803102E-03  0.35999552434166E-01  1
 0.22883884718605E-01 -0.22464774249619E-01  0.76232167849653E-03  0.32182784497968E-03  0.40555416664642E-01  1
 0.19634429350400E-01 -0.76204353213824E-01  0.69316075848584E-03  0.29533487216003E-03  0.44716724213161E-01  1
 0.16631775785591E-01 -0.14237882059048E+00  0.63301144281768E-03  0.27120932902183E-03  0.48364230117010E-01  1
 0.13876679926199E-01 -0.21830205186004E+00  0.57628821566615E-03  0.24784917139266E-03  0.51962447478336E-01  1
 0.11369835352910E-01 -0.30222794768864E+00  0.51924851796184E-03  0.22454623887946E-03  0.56297444632169E-01  1
 0.91118731504758E-02 -0.40088394460803E+00  0.46487075377603E-03  0.20251090117068E-03  0.60917142258845E-01  1
 0.71033617488364E-02 -0.51771447461824E+00  0.41670146867531E-03  0.18320257929863E-03  0.64817305633267E-01  1
 0.53448067800247E-02 -0.65444755713165E+00  0.38122548460574E-03  0.16885962127258E-03  0.65134742180989E-01  1
 0.38366509508745E-02 -0.79308090181111E+00  0.38434923306667E-03  0.17184352663514E-03  0.58429007839027E-01  1
 0.25792739315716E-02 -0.91067295558631E+00  0.62963336040798E-03  0.28229925997941E-03  0.14155358221548E-01  1
 0.15729922600740E-02 -0.98121829018078E+00  0.70881632594868E-03  0.31775491443895E-03  0.38003449090177E-02  1
 0.81805926242545E-03 -0.99213444650516E+00  0.34391529562737E-03  0.15370574185430E-03  0.35950348017703E-02  1
 0.31466498898136E-03 -0.94687323954328E+00  0.31343596388013E-03  0.14045547783210E-03  0.13897403833645E-01  1

 0.12587233313022E-03 -0.86544268313738E+00  0.28767183601495E-03  0.12884557441188E-03  0.27522491704633E-01  1
