# Reynolds:  0.43027E+05
# Mach:  0.27187E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.69173E+00  0.15387E+00  0.14384E+02  0.54519E+01  0.15449E+02  0.97883E+01  0.93595E+00  0.36667E-01  0.98538E-01  0.14722E+02  0.52510E+04  0.33656E-02  0.14867E-02  0.48127E-03  0.27363E+00  0.63090E+00 -0.13020E+02 -0.12090E+04  0.68677E-03 -0.26508E-03 -0.34476E-04  0.34023E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.33918515049870E+00  0.10054349518351E+01  0.63224723673788E-02  0.17138171738103E-02  0.11260194145913E-02  1
 0.35117584649495E+00  0.98407070104476E+00  0.69033262567389E-02  0.17710731636522E-02  0.49348274520721E-03 -1
 0.36332988051118E+00  0.97129814295231E+00  0.71282513056386E-02  0.18196723658829E-02  0.43720335275646E-03 -1
 0.37564419283416E+00  0.96534760990689E+00  0.73674717339086E-02  0.18726026327122E-02  0.39058959594469E-03 -1
 0.38811568340144E+00  0.96261756080797E+00  0.76243873370096E-02  0.19305790927091E-02  0.35088943045197E-03 -1
 0.40074121258179E+00  0.96138093047309E+00  0.79001151532428E-02  0.19937461071270E-02  0.31657528545230E-03 -1
 0.41351760196559E+00  0.96059502536291E+00  0.81917233211987E-02  0.20612490007293E-02  0.28667570298916E-03 -1
 0.42644163516494E+00  0.95997646382268E+00  0.84977142943361E-02  0.21326470832770E-02  0.26050389321720E-03 -1
 0.43951005862344E+00  0.95941439221043E+00  0.88212628425656E-02  0.22087202969421E-02  0.23749817537968E-03 -1
 0.45271958243516E+00  0.95889137342794E+00  0.91666796544297E-02  0.22905169198568E-02  0.21721175401903E-03 -1
 0.46606688117296E+00  0.95839816322638E+00  0.95363090532725E-02  0.23785899010750E-02  0.19930531470590E-03 -1
 0.47954859472556E+00  0.95793672961896E+00  0.99334848941897E-02  0.24737666988795E-02  0.18351253994724E-03 -1
 0.49316132914349E+00  0.95750337623013E+00  0.10368098970754E-01  0.25785213863199E-02  0.16951108465265E-03 -1
 0.50690165749346E+00  0.95710072188203E+00  0.10852869738490E-01  0.26959880832461E-02  0.15700344259373E-03 -1
 0.52076612072110E+00  0.95672505977998E+00  0.11385269863943E-01  0.28254512496951E-02  0.14589255037015E-03 -1
 0.53475122852174E+00  0.95637794649375E+00  0.11927775680268E-01  0.29574620928074E-02  0.13634695594070E-03 -1
 0.54885346021908E+00  0.95605424901578E+00  0.12399281356520E-01  0.30717850908771E-02  0.12871677435461E-03 -1
 0.56306926565152E+00  0.95575255465643E+00  0.12736562220790E-01  0.31528383596557E-02  0.12295305761585E-03 -1
 0.57739506606585E+00  0.95546612636480E+00  0.12933837360015E-01  0.31993838992039E-02  0.11870130304889E-03 -1
